Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
27022,Don,Rotherham Weir,442650,392750,824.43,186,0.464,0.38,864,148.048,FALSE
27023,Dearne,Barnsley Weir,435000,407300,119.56,148,0.539,0.32,766,26.594,FALSE
27024,Swale,Richmond,414650,500650,377.97,411,0.342,0.62,1226,240.5405,FALSE
27025,Rother,Woodhouse Mill,443250,385700,351.1,134,0.494,0.38,756,49.007,FALSE
27026,Rother,Whittington,439350,374500,167.03,163,0.491,0.38,811,36.463,FALSE
27027,Wharfe,Ilkley,411200,448150,445.29,354,0.366,0.62,1369,267.21,FALSE
27028,Aire,Armley,428050,434050,687.01,220,0.408,0.49,1048,138.0475,FALSE
27029,Calder,Elland,412400,421950,340.75,292,0.455,0.57,1257,129.008,FALSE
27030,Dearne,Adwick,447700,402050,310.98,105,0.533,0.32,696,41.576,FALSE
27031,Colne,Colne Bridge,417400,419950,245.58,246,0.606,0.52,1144,89.087,FALSE
27032,Hebden Beck,Hebden,402450,464250,22.25,453,0.252,0.62,1433,4.052,FALSE
27034,Ure,Kilgram Bridge,419050,486000,510.94,366,0.386,0.63,1337,250.158,FALSE
27035,Aire,Kildwick Bridge,401100,445700,283.39,230,0.385,0.62,1151,58,FALSE
27040,Doe Lea,Staveley,444250,374600,68.12,114,0.433,0.38,708,10.645,FALSE
27041,Derwent,Buttercrambe,473100,458700,1594.24,128,0.608,0.34,765,70.6615,FALSE
27043,Wharfe,Addingham,409200,449300,430.01,360,0.366,0.62,1385,262.554,FALSE
27050,Esk,Sleights,486600,508150,298.49,225,0.349,0.4,881,97.602,FALSE
27051,Crimple,Burn Bridge,428400,451900,8.17,174,0.309,0.34,855,4.524,FALSE
27052,Whitting,Sheepbridge,437650,374750,54.27,182,0.536,0.38,834,15.716,FALSE
27053,Nidd,Birstwith,423000,460350,219.31,320,0.357,0.53,1218,97.4195,FALSE
27055,Rye,Broadway Foot,456000,488350,131.3,268,0.422,0.34,882,39.73,FALSE
27059,Laver,Ripon Laver Weir,430300,470950,78.44,195,0.42,0.36,912,21.878,FALSE
27062,Nidd,Skip Bridge,448250,456100,523.47,185,0.416,0.36,945,87.69,FALSE
27065,Holme,Huddersfield Queens Mill,414250,415750,100.7,276,0.605,0.57,1237,42.743,FALSE
27071,Swale,Crakehill,442500,473300,1354.44,182,0.436,0.38,835,157.238,FALSE
27073,Brompton Beck,Snainton Ings,493550,479450,8.06,82,0.887,0.39,721,0.812,FALSE
27079,Calder,Methley,440850,425750,950.18,205,0.525,0.39,1024,233.699,FALSE
27080,Aire,Oulton Lemonroyd,438300,428250,861.58,194,0.402,0.4,984,151.328,FALSE
27081,Oulton Beck,Oulton Farrer Lane,436450,428100,25.1,80,0.535,0.32,677,2.395,FALSE
27083,Foss,Huntington,461200,454350,126.35,39,0.478,0.32,637,12.323,FALSE
27084,Eastburn Beck,Crosshills,402050,445250,41.01,260,0.315,0.62,1129,28.85,FALSE
27086,Skell,Ripon Alma Weir,431550,470950,117.33,187,0.422,0.36,899,28.0565,FALSE
27087,Derwent,Low Marishes,483300,477400,475.94,101,0.684,0.34,741,14.6895,FALSE
27088,Calder,Mytholmroyd,401200,426050,146.87,323,0.361,0.57,1360,82.325,FALSE
